Date,Power (kW),Day type,Weekday,Hour,Temperature (C),Solar Rad (W/m2),Power-1
2017-01-01 01:00:00,75.1735565,1,6,1,7.93,1.4773333333333334,74.897706
2017-01-01 02:00:00,74.2081752,1,6,2,7.263416666666667,1.4150833333333335,75.1735565
2017-01-01 03:00:00,73.7358886,1,6,3,6.831333333333333,1.5419999999999998,74.2081752
2017-01-01 04:00:00,75.1023508,1,6,4,6.50025,0.891,73.7358886
2017-01-01 05:00:00,75.7873,1,6,5,6.0064166666666665,1.3758333333333332,75.1023508
2017-01-01 06:00:00,77.6023772,1,6,6,5.645833333333333,0.988,75.7873
2017-01-01 07:00:00,78.4381374,1,6,7,5.47775,1.4661666666666668,77.6023772
2017-01-01 08:00:00,79.3300222,1,6,8,5.4102500000000004,29.54975,78.4381374
2017-01-01 09:00:00,79.1734842,1,6,9,5.480583333333333,76.49416666666667,79.3300222
2017-01-01 10:00:00,79.9118854,1,6,10,6.0168333333333335,192.8083333333333,79.1734842
2017-01-01 11:00:00,79.9960723,1,6,11,6.882416666666667,237.49166666666667,79.9118854
2017-01-01 12:00:00,78.9804843,1,6,12,7.56,267.5,79.9960723
2017-01-01 13:00:00,80.4000167,1,6,13,8.73,203.54999999999998,78.9804843
2017-01-01 14:00:00,82.9294417,1,6,14,9.809166666666666,146.23333333333332,80.4000167
2017-01-01 15:00:00,84.2287071,1,6,15,9.735833333333334,124.28333333333335,82.9294417
2017-01-01 16:00:00,84.272805,1,6,16,9.525833333333333,56.92416666666667,84.2287071
2017-01-01 17:00:00,85.5831426,1,6,17,8.9725,5.232166666666667,84.272805
2017-01-01 18:00:00,85.158581,1,6,18,8.865,1.5073333333333334,85.5831426
2017-01-01 19:00:00,86.1590879,1,6,19,8.984166666666667,1.4498333333333333,85.158581
2017-01-01 20:00:00,87.6857152,1,6,20,9.186666666666667,1.3549999999999998,86.1590879
2017-01-01 21:00:00,86.0090405,1,6,21,9.174166666666666,1.3435833333333334,87.6857152
2017-01-01 22:00:00,87.447472,1,6,22,10.0075,1.2211666666666667,86.0090405
2017-01-01 23:00:00,88.2941135,1,6,23,9.882307692307693,1.5002307692307693,87.447472
2017-01-02 00:00:00,87.3963108,2,0,0,9.471666666666666,1.1796666666666666,88.2941135
2017-01-02 01:00:00,89.1758806,2,0,1,10.209166666666667,1.8166666666666667,87.3963108
2017-01-02 02:00:00,88.1238307,2,0,2,9.975833333333332,1.1193333333333333,89.1758806
2017-01-02 03:00:00,87.7779199,2,0,3,9.791666666666666,1.5486666666666666,88.1238307
2017-01-02 04:00:00,87.1412684,2,0,4,9.895,1.507,87.7779199
2017-01-02 05:00:00,96.3670836,2,0,5,10.0425,1.5416666666666667,87.1412684
