Date,Power (kWh),Day type,Weekday,Hour,Temperature (C),Solar Rad (W/m2),Power-1
2019-01-01 01:00:00,94.166,1,1,1,10.3775,1.7286666666666666,93.576
2019-01-01 02:00:00,94.725,1,1,2,10.260833333333332,2.67475,94.166
2019-01-01 03:00:00,97.048,1,1,3,9.666666666666666,2.44425,94.725
2019-01-01 04:00:00,95.032,1,1,4,8.640833333333333,3.0563333333333333,97.048
2019-01-01 05:00:00,96.062,1,1,5,9.093333333333334,2.426416666666667,95.032
2019-01-01 06:00:00,94.803,1,1,6,8.3925,2.46775,96.062
2019-01-01 07:00:00,108.339,1,1,7,7.697500000000001,3.4028333333333336,94.803
2019-01-01 08:00:00,165.053,1,1,8,7.696666666666666,66.3175,108.339
2019-01-01 09:00:00,167.099,1,1,9,8.685,216.0666666666667,165.053
2019-01-01 10:00:00,168.176,1,1,10,9.961666666666668,349.31666666666666,167.099
2019-01-01 11:00:00,167.014,1,1,11,11.290833333333332,441.98333333333335,168.176
2019-01-01 12:00:00,166.904,1,1,12,12.480833333333337,481.325,167.014
2019-01-01 13:00:00,165.091,1,1,13,14.080833333333333,463.56666666666666,166.904
2019-01-01 14:00:00,166.673,1,1,14,15.055,388.4333333333333,165.091
2019-01-01 15:00:00,166.719,1,1,15,15.814166666666669,265.3333333333333,166.673
2019-01-01 16:00:00,170.029,1,1,16,15.722500000000002,116.13,166.719
2019-01-01 17:00:00,173.931,1,1,17,14.49,7.204833333333333,170.029
2019-01-01 18:00:00,177.147,1,1,18,14.13,1.3589166666666666,173.931
2019-01-01 19:00:00,123.014,1,1,19,13.160833333333334,1.0246666666666666,177.147
2019-01-01 20:00:00,105.908,1,1,20,12.586666666666666,2.354083333333333,123.014
2019-01-01 21:00:00,105.253,1,1,21,13.025833333333331,1.394,105.908
2019-01-01 22:00:00,107.703,1,1,22,12.034999999999998,0.9255,105.253
2019-01-01 23:00:00,108.823,1,1,23,11.660833333333334,0.8445833333333334,107.703
2019-01-02 00:00:00,107.08,2,2,0,11.498333333333331,1.1863333333333337,108.823
2019-01-02 01:00:00,109.023,2,2,1,11.144166666666663,0.8446666666666666,107.08
2019-01-02 02:00:00,109.115,2,2,2,10.790833333333332,1.22775,109.023
2019-01-02 03:00:00,107.676,2,2,3,10.448333333333334,2.451,109.115
2019-01-02 04:00:00,105.913,2,2,4,10.280833333333334,2.940333333333333,107.676
2019-01-02 05:00:00,123.217,2,2,5,10.509166666666667,3.1456666666666666,105.913
2019-01-02 06:00:00,136.847,2,2,6,10.191666666666666,3.1710833333333333,123.217
2019-01-02 07:00:00,172.66,2,2,7,9.485833333333334,5.010583333333333,136.847
2019-01-02 08:00:00,262.801,2,2,8,9.899166666666668,67.535,172.66
2019-01-02 09:00:00,315.967,2,2,9,10.32,218.03333333333333,262.801
2019-01-02 10:00:00,360.3,2,2,10,12.593333333333334,348.02500000000003,315.967
2019-01-02 11:00:00,385.766,2,2,11,12.574166666666668,436.475,360.3
2019-01-02 12:00:00,391.831,2,2,12,12.991666666666667,473.125,385.766
2019-01-02 13:00:00,370.568,2,2,13,15.013333333333334,457.0416666666667,391.831
2019-01-02 14:00:00,371.217,2,2,14,14.228333333333332,386.5416666666667,370.568
2019-01-02 15:00:00,368.27,2,2,15,13.988333333333337,266.35,371.217
2019-01-02 16:00:00,358.216,2,2,16,13.293333333333337,115.09666666666668,368.27
